Interval	Chr	Bound_Region_Start	Bound_Region_Stop	Bound_Region_Score	Peak_start	Peak_score	Closest_gene	Closest_gene_dist	Closest_transcribed_gene	Closest_transcribed_gene_dist
1	3R	4522389	4528495	4.873776912689	4526856	4.600076675415	FBgn0037612	152	FBgn0001180	3316
2	3L	20627216	20634993	4.246455192566	20631339	4.028298546286	FBgn0001320	2135	FBgn0001320	2135
3	2R	20729106	20735171	4.120899200439	20730481	3.626828723484	FBgn0001325	3734	FBgn0001325	3734
4	2R	9075588	9088240	4.022827148438	9085120	3.641827642918	FBgn0033857	5016	FBgn0033856	10668
5	3L	13054245	13057864	3.989489555359	13055560	3.698102165671	FBgn0036345	5676	FBgn0010452	32660
6	2L	2576041	2579280	3.8849401474	2577741	3.630190933452	FBgn0031435	70	FBgn0031435	70
7	2R	14786665	14792114	3.814320087433	14788061	3.569166898727	FBgn0003254	2528	FBgn0003254	2528
8	3L	8643129	8646253	3.807712078094	8644601	3.527092784643	FBgn0001168	5105	FBgn0001168	5105
9	X	2284905	2288800	3.807074546814	2287182	3.693125051611	FBgn0001150	2063	FBgn0001150	2063
10	2L	21605757	21606761	3.716421127319	21606680	3.336605119705	FBgn0032955	4512	FBgn0022893	10841
11	2L	4365966	4372222	3.682154655457	4368816	3.273830831051	FBgn0026319	3174	FBgn0026319	3174
12	3L	8637802	8642034	3.675214290619	8640044	3.325252757353	FBgn0001168	9662	FBgn0001168	9662
13	3L	14240382	14242941	3.664003372192	14241486	3.217522144318	FBgn0001085	1880	FBgn0036415	58318
14	2R	5494719	5499591	3.640954017639	5496059	3.34959602356	FBgn0024923	4915	FBgn0024923	4915
15	2L	12459107	12461415	3.619210243225	12460223	3.604726219177	FBgn0032437	6541	FBgn0040286	25558
16	3L	4234767	4237865	3.587746620178	4236045	3.279132225934	FBgn0041171	1796	FBgn0041171	1796
17	3R	673668	676489	3.574026584625	674979	3.3616493169	FBgn0003002	3556	FBgn0003002	3556
18	3R	12597367	12600273	3.538231372833	12599055	3.185213649974	FBgn0020556	144	FBgn0020556	144
19	2L	20755167	20759057	3.525234699249	20756516	3.338010549545	FBgn0000251	1812	FBgn0000986	34008
20	X	8405577	8407811	3.524099349976	8406775	3.059775352478	FBgn0030049	878	FBgn0030054	44763
21	2L	1075260	1077934	3.517210006714	1076631	3.234368268181	FBgn0003310	1180	FBgn0003310	1180
22	3R	11243145	11247297	3.509569168091	11246279	3.040501117706	FBgn0067339	2774	FBgn0067339	2774
23	3R	5702775	5707230	3.496289253235	5705948	3.229327023029	FBgn0037767	4551	FBgn0065050	101742
24	3R	15174953	15177384	3.491596698761	15176316	3.046818621018	FBgn0038697	24155	FBgn0000463	24381
25	3R	16375515	16378121	3.469132900238	16376901	2.806876827689	FBgn0016917	1133	FBgn0043457	6751
26	2R	18196342	18199242	3.460938930511	18197734	3.224019920125	FBgn0020257	1179	FBgn0020257	1179
27	2R	9944622	9947189	3.454887866974	9945734	2.999729380888	FBgn0013725	1464	FBgn0013725	1464
28	2R	6092548	6096568	3.427376747131	6094161	2.841283910415	FBgn0004399	24444	FBgn0004399	24444
29	2R	3757278	3761364	3.414724349976	3758439	3.140901846044	FBgn0033277	7630	FBgn0010109	14299
30	X	18136397	18139239	3.414151191711	18137585	3.332932531834	FBgn0004956	4177	FBgn0004956	4177
31	3L	14137479	14139806	3.41081905365	14138790	3.259424686432	FBgn0000411	5089	FBgn0000411	5089
32	2L	8142921	8147674	3.385392665863	8143981	2.913395315409	FBgn0051606	3649	FBgn0051607	4969
33	2L	14486701	14490613	3.372705459595	14489218	2.878644794226	FBgn0005771	1644	FBgn0005771	1644
34	X	20500935	20503347	3.366420269012	20501983	3.078854729148	FBgn0003300	3134	FBgn0003300	3134
35	2L	18585730	18588033	3.347005367279	18586791	3.204795900981	FBgn0032688	35	FBgn0032693	62122
36	3R	2642461	2645437	3.334985733032	2643888	2.973255213569	FBgn0051485	1172	FBgn0046833	8592
37	3R	7176293	7179273	3.280195713043	7177265	2.9518736671	FBgn0026064	898	FBgn0026064	898
38	X	20495056	20497548	3.237134933472	20496208	2.923789949978	FBgn0031128	8608	FBgn0003300	8909
39	3R	2682084	2684323	3.235805749893	2683272	3.089460492134	FBgn0001077	6774	FBgn0001077	6774
40	3L	19828860	19834317	3.233860015869	19831712	2.958432555199	FBgn0014037	11514	FBgn0014037	11514
41	X	10652860	10655314	3.231075286865	10654046	2.78839080474	FBgn0030235	13954	FBgn0030235	13954
42	3L	13886959	13891415	3.21363735199	13888217	2.835018396378	FBgn0026376	2290	FBgn0036386	6039
43	3R	27017868	27020319	3.133033752441	27018829	3.03672580158	FBgn0004389	117	FBgn0004389	117
44	X	3952992	3955288	3.130735397339	3954075	3.070703566074	FBgn0026084	2723	FBgn0000221	4494
45	3R	9375194	9377204	3.123205661774	9376285	2.311430199941	FBgn0051337	5179	FBgn0053328	89905
46	2L	14260167	14263495	3.08039855957	14262065	2.774044317358	FBgn0004002	1457	FBgn0028529	93015
